Survey Identifier,Area of park,Longitude,Latitude,Food cache ,Lodge class,Lodge type,Lodge number,Lodge identifier,Unit identifier,Year of survey,Month of survey,Day of survey,Season,Aerial or ground survey method,Mode of transportation for survey,Percentage of EINP surveyed,Width of transect in meters,Visibility conditions,Amount of snow on ground,Amount of ice on ponds,"Flying height, above ground level",Flying speed,Survey Comments
2,south,-112.8857921,53.5525569,absent,2,unknown,54,NA,NA,1963,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
2,south,-112.8079705,53.56249711,absent,3,unknown,48,NA,NA,1963,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
2,south,-112.9188867,53.56495806,absent,3,unknown,45,NA,NA,1963,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
3,north,-112.8407057,53.63231666,absent,NA,unknown,30,NA,NA,1968,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
3,north,-112.8415788,53.63291454,absent,NA,unknown,29,NA,NA,1968,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
3,north,-112.8657715,53.67111529,absent,NA,unknown,15,NA,NA,1968,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
3,north,-112.8396242,53.67210425,absent,NA,unknown,22,NA,NA,1968,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
3,north,-112.8349453,53.67312897,absent,NA,unknown,23,NA,NA,1968,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
3,north,-112.8655581,53.67450778,absent,NA,unknown,14,NA,NA,1968,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
3,north,-112.8331932,53.68193881,absent,NA,unknown,7,NA,NA,1968,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
3,north,-112.8497387,53.68733894,absent,NA,unknown,6,NA,NA,1968,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,"ground survey took all winter, date of survey is fall start year"
4,north,-112.8552065,53.58015807,absent,NA,unknown,19,NA,NA,1970,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,NA
4,north,-112.946145,53.6155991,absent,NA,unknown,39,NA,NA,1970,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,NA
4,north,-112.9269191,53.6180499,absent,NA,unknown,35,NA,NA,1970,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,NA
4,north,-112.9088277,53.63094381,absent,NA,unknown,45,NA,NA,1970,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,NA
4,north,-112.8621022,53.66652467,absent,NA,unknown,72,NA,NA,1970,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,NA
4,north,-112.8647817,53.6689282,absent,NA,unknown,74,NA,NA,1970,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,NA
4,north,-112.8371967,53.67128749,absent,NA,unknown,67,NA,NA,1970,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,NA
4,north,-112.8420613,53.67244435,absent,NA,unknown,68,NA,NA,1970,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,NA
4,north,-112.8659202,53.67585061,absent,NA,unknown,76,NA,NA,1970,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,NA
4,north,-112.8336345,53.68094318,absent,NA,unknown,64,NA,NA,1970,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,NA
4,north,-112.8034166,53.68250785,absent,NA,unknown,7,NA,NA,1970,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,NA
4,north,-112.8431142,53.68372831,absent,NA,unknown,63,NA,NA,1970,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,NA
4,north,-112.8492895,53.68641993,absent,NA,unknown,61,NA,NA,1970,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,NA
4,north,-112.8041844,53.69444362,absent,NA,unknown,4,NA,NA,1970,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,NA
4,south,-112.8741936,53.51659036,absent,NA,unknown,113,NA,NA,1970,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,NA
4,south,-112.8843378,53.51778835,absent,NA,unknown,110,NA,NA,1970,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,NA
4,south,-112.9076144,53.52285813,absent,NA,unknown,93,NA,NA,1970,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,NA
4,south,-112.8402749,53.52574781,absent,NA,unknown,117,NA,NA,1970,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,NA
4,south,-112.8130247,53.52637998,absent,NA,unknown,125,NA,NA,1970,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,NA
4,south,-112.9319537,53.52662064,absent,NA,unknown,97,NA,NA,1970,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,NA
4,south,-112.928551,53.52743975,absent,NA,unknown,96,NA,NA,1970,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,NA
4,south,-112.9149133,53.53148879,absent,NA,unknown,92,NA,NA,1970,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,NA
4,south,-112.8479121,53.53794628,absent,NA,unknown,121,NA,NA,1970,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,NA
4,south,-112.838501,53.544699,absent,NA,unknown,122,NA,NA,1970,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,NA
4,south,-112.9193006,53.56175995,absent,NA,unknown,83,NA,NA,1970,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,NA
4,south,-112.9184931,53.56493741,absent,NA,unknown,82,NA,NA,1970,NA,NA,winter,ground,foot,100,NA,NA,NA,NA,NA,NA,NA
5,north,-112.8887884,53.56966255,absent,NA,unknown,91,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8887884,53.56966255,absent,NA,unknown,91,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.9221149,53.57187351,absent,NA,unknown,98,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.9221149,53.57187351,absent,NA,unknown,98,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.854684,53.58030102,absent,NA,unknown,86,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.854684,53.58030102,absent,NA,unknown,86,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8584883,53.59057141,absent,NA,unknown,87,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8584883,53.59057141,absent,NA,unknown,87,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8689576,53.60455845,absent,NA,unknown,95,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8689576,53.60455845,absent,NA,unknown,95,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.9348244,53.60939979,absent,NA,unknown,111,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.9348244,53.60939979,absent,NA,unknown,111,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.9462762,53.61582171,absent,NA,unknown,115,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.9462762,53.61582171,absent,NA,unknown,115,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.9423787,53.62379627,absent,NA,unknown,120,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.9423787,53.62379627,absent,NA,unknown,120,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.9168897,53.62561873,absent,NA,unknown,126,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.9168897,53.62561873,absent,NA,unknown,126,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8368378,53.63206145,absent,NA,unknown,69,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8368378,53.63206145,absent,NA,unknown,69,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8424871,53.636056,absent,NA,unknown,72,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8424871,53.636056,absent,NA,unknown,72,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8413213,53.66554258,absent,NA,unknown,77,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8413213,53.66554258,absent,NA,unknown,77,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8626906,53.66613795,absent,NA,unknown,33,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8626906,53.66613795,absent,NA,unknown,33,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8571271,53.6662963,absent,NA,unknown,31,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8571271,53.6662963,absent,NA,unknown,31,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8646622,53.66896602,absent,NA,unknown,34,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8646622,53.66896602,absent,NA,unknown,34,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8603159,53.67167664,absent,NA,unknown,35,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8603159,53.67167664,absent,NA,unknown,35,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8655599,53.67591915,absent,NA,unknown,37,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8655599,53.67591915,absent,NA,unknown,37,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8609741,53.68523205,absent,NA,unknown,40,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8609741,53.68523205,absent,NA,unknown,40,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8490706,53.68626149,absent,NA,unknown,22,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8490706,53.68626149,absent,NA,unknown,22,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8642681,53.68746422,absent,NA,unknown,42,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8642681,53.68746422,absent,NA,unknown,42,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8561284,53.68902903,absent,NA,unknown,21,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8561284,53.68902903,absent,NA,unknown,21,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8598827,53.69070581,absent,NA,unknown,20,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8598827,53.69070581,absent,NA,unknown,20,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8624676,53.69333561,absent,NA,unknown,19,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8624676,53.69333561,absent,NA,unknown,19,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8027283,53.69475322,absent,NA,unknown,43,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8027283,53.69475322,absent,NA,unknown,43,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8112318,53.69876917,absent,NA,unknown,15,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,north,-112.8112318,53.69876917,absent,NA,unknown,15,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.8738754,53.51655938,absent,NA,unknown,207,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.8738754,53.51655938,absent,NA,unknown,207,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.8895652,53.51661803,absent,NA,unknown,203,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.8895652,53.51661803,absent,NA,unknown,203,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.901839,53.51685488,absent,NA,unknown,196,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.901839,53.51685488,absent,NA,unknown,196,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.8790755,53.51749362,absent,NA,unknown,206,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.8790755,53.51749362,absent,NA,unknown,206,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.900955,53.51833433,absent,NA,unknown,197,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.900955,53.51833433,absent,NA,unknown,197,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.9252785,53.52082183,absent,NA,unknown,188,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.9252785,53.52082183,absent,NA,unknown,188,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.9094805,53.52174952,absent,NA,unknown,192,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.9094805,53.52174952,absent,NA,unknown,192,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.906958,53.52302143,absent,NA,unknown,191,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.906958,53.52302143,absent,NA,unknown,191,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.9257177,53.52352079,absent,NA,unknown,187,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.9257177,53.52352079,absent,NA,unknown,187,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.8194895,53.52585024,absent,NA,unknown,222,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.8194895,53.52585024,absent,NA,unknown,222,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.9170828,53.52540367,absent,NA,unknown,189,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.9170828,53.52540367,absent,NA,unknown,189,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.9484635,53.52637963,absent,NA,unknown,178,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.9484635,53.52637963,absent,NA,unknown,178,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.9300008,53.52713766,absent,NA,unknown,183,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.9300008,53.52713766,absent,NA,unknown,183,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.9402388,53.52765516,absent,NA,unknown,179,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.9402388,53.52765516,absent,NA,unknown,179,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.9262491,53.52791738,absent,NA,unknown,184,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.9262491,53.52791738,absent,NA,unknown,184,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.9354544,53.52861376,absent,NA,unknown,180,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.9354544,53.52861376,absent,NA,unknown,180,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.8541418,53.53028024,absent,NA,unknown,213,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.8541418,53.53028024,absent,NA,unknown,213,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
5,south,-112.86695,53.53023372,absent,NA,unknown,211,NA,NA,1974,NA,NA,fall,aerial,airplane,100,800,NA,NA,yes,120,137,Park surveyed in 15 north-south transects.
